file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
wwf_api9265816;org.sidoh.wwf_api.types.game_state.Slot;Slot;class;20;134;3;0;456;41;11;445;
wwf_api9265816;org.sidoh.wwf_api.util.MersenneTwister;MersenneTwister;class;3;169;2;0;330;28;13;696;
wwf_api9265816;org.sidoh.wwf_api.types.game_state.Tile;Tile;class;19;148;3;0;545;46;15;526;
wwf_api9265816;org.sidoh.wwf_api.parser.ParserException;ParserException;class;0;4;4;0;6;4;0;14;
wwf_api9265816;org.sidoh.wwf_api.MoveValidationException;MoveValidationException;class;0;4;4;0;6;4;0;15;
wwf_api9265816;org.sidoh.wwf_api.game_state.AdjacentSlots;AdjacentSlots;class;2;22;1;0;153;22;9;103;
wwf_api9265816;org.sidoh.wwf_api.types.api.WwfApi;WwfApi;class;173;1950;43;0;219699;731;172;6297;
wwf_api9265816;org.sidoh.wwf_api.game_state.Board;Board;class;7;31;1;1;16;12;8;81;
wwf_api9265816;org.sidoh.wwf_api.parser.ResponseParser;ResponseParser;class;16;61;1;0;91;14;1;318;
wwf_api9265816;org.sidoh.wwf_api.types.api.GameIndex;GameIndex;class;20;138;3;0;462;44;10;485;
wwf_api9265816;org.sidoh.wwf_api.examples.GameList;GameList;class;8;5;1;0;0;1;0;44;
wwf_api9265816;org.sidoh.wwf_api.Bag;Bag;class;4;18;1;0;0;14;4;166;
wwf_api9265816;org.sidoh.wwf_api.game_state.WordsWithFriendsBoard;WordsWithFriendsBoard;class;17;89;3;0;164;24;7;486;
wwf_api9265816;org.sidoh.wwf_api.game_state.TileBagBuilder;TileBagBuilder;class;2;4;1;0;0;3;1;18;
wwf_api9265816;org.sidoh.wwf_api.game_state.TestWordsWithFriendsBoard;TestWordsWithFriendsBoard;class;8;19;3;0;66;12;0;105;
wwf_api9265816;org.sidoh.wwf_api.types.api.Coordinates;Coordinates;class;18;110;3;0;562;41;13;396;
wwf_api9265816;org.sidoh.wwf_api.WwfApiTestCase;WwfApiTestCase;class;11;21;2;0;36;9;2;124;
wwf_api9265816;org.sidoh.wwf_api.game_state.SlotIterator;SlotIterator;class;4;29;1;0;0;18;15;121;
wwf_api9265816;org.sidoh.wwf_api.game_state.Direction;Direction;enum;0;2;1;0;0;2;1;12;
wwf_api9265816;org.sidoh.wwf_api.util.TestMersenneTwister;TestMersenneTwister;class;2;1;2;0;0;1;0;12;
wwf_api9265816;org.sidoh.wwf_api.AccessTokenRetriever;AccessTokenRetriever;class;12;15;1;0;5;6;8;127;
wwf_api9265816;org.sidoh.wwf_api.types.game_state.SlotModifier;SlotModifier;enum;1;8;1;0;0;3;1;47;
wwf_api9265816;org.sidoh.wwf_api.StateReconstructor;StateReconstructor;class;12;48;3;0;24;9;6;184;
wwf_api9265816;org.sidoh.wwf_api.types.api.ChatMessage;ChatMessage;class;18;246;3;0;1070;61;23;738;
wwf_api9265816;org.sidoh.wwf_api.types.game_state.WordOrientation;WordOrientation;enum;1;5;1;0;0;3;1;38;
wwf_api9265816;org.sidoh.wwf_api.game_state.TestMove;TestMove;class;3;1;3;0;0;1;0;38;
wwf_api9265816;org.sidoh.wwf_api.ApiRequestException;ApiRequestException;class;0;3;4;0;3;3;0;12;
wwf_api9265816;org.sidoh.wwf_api.ApiProvider;ApiProvider;class;12;22;1;0;0;12;5;186;
wwf_api9265816;org.sidoh.wwf_api.util.ThriftSerializationHelper;ThriftSerializationHelper;class;10;9;1;0;19;7;3;93;
wwf_api9265816;org.sidoh.wwf_api.game_state.TileBuilder;TileBuilder;class;2;4;1;0;0;4;4;30;
wwf_api9265816;org.sidoh.wwf_api.types.game_state.BoardStorage;BoardStorage;class;19;100;3;0;387;39;8;376;
wwf_api9265816;org.sidoh.wwf_api.game_state.Move;Move;class;6;75;1;0;126;29;10;227;
wwf_api9265816;org.sidoh.wwf_api.types.api.GameType;GameType;enum;1;5;1;0;0;3;1;38;
wwf_api9265816;org.sidoh.wwf_api.parser.SafeJSONObject;SafeJSONObject;class;3;11;1;0;0;9;1;48;
wwf_api9265816;org.sidoh.wwf_api.types.game_state.Letter;Letter;class;18;88;3;0;346;36;8;325;
wwf_api9265816;org.sidoh.wwf_api.RequestGenerator;RequestGenerator;class;12;62;1;0;104;17;8;280;
wwf_api9265816;org.sidoh.wwf_api.ApiServer;ApiServer;class;14;15;1;0;0;9;2;77;
wwf_api9265816;org.sidoh.wwf_api.types.game_state.Rack;Rack;class;19;130;3;0;520;44;12;476;
wwf_api9265816;org.sidoh.wwf_api.StatefulApiProvider;StatefulApiProvider;class;7;11;1;0;0;11;3;122;
wwf_api9265816;org.sidoh.wwf_api.types.api.MoveData;MoveData;class;21;568;3;0;3341;102;40;1507;
wwf_api9265816;org.sidoh.wwf_api.game_state.InvalidGameStateException;InvalidGameStateException;class;0;2;5;0;1;2;0;9;
wwf_api9265816;org.sidoh.wwf_api.types.api.GameState;GameState;class;23;419;3;0;2097;87;24;1382;
wwf_api9265816;org.sidoh.wwf_api.game_state.GameScoreStatus;GameScoreStatus;enum;0;0;1;0;0;0;0;4;
wwf_api9265816;org.sidoh.wwf_api.types.api.GameMeta;GameMeta;class;20;450;3;0;2461;91;37;1438;
wwf_api9265816;org.sidoh.wwf_api.types.api.MoveType;MoveType;enum;1;10;1;0;0;3;1;53;
wwf_api9265816;org.sidoh.wwf_api.types.api.SearchGameParams;SearchGameParams;class;7;74;1;0;516;33;7;303;
wwf_api9265816;org.sidoh.wwf_api.Communication;Communication;class;6;42;1;0;234;24;6;391;
wwf_api9265816;org.sidoh.wwf_api.types.api.MoveSubmission;MoveSubmission;class;22;238;3;0;757;54;15;736;
wwf_api9265816;org.sidoh.wwf_api.types.api.User;User;class;18;156;3;0;597;46;16;492;
wwf_api9265816;org.sidoh.wwf_api.game_state.GameStateHelper;GameStateHelper;class;17;67;1;0;378;28;3;396;
wwf_api9265816;org.sidoh.wwf_api.types.api.NewGameParams;NewGameParams;class;20;134;3;0;456;41;11;441;
