file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
platform-game15593849;com.adrian.platformgame.leveleditor.MouseEditor;MouseEditor;class;0;37;1;0;50;17;17;140;
platform-game15593849;com.adrian.platformgame.listener.PhysicalContactListener;PhysicalContactListener;class;10;22;1;0;6;4;0;60;
platform-game15593849;com.adrian.platformgame.leveleditor.Crosshair;Crosshair;class;2;10;1;0;0;4;8;46;
platform-game15593849;com.adrian.platformgame.physic.PhysicsUtil;PhysicsUtil;class;13;12;1;0;52;12;3;158;
platform-game15593849;com.adrian.platformgame.quadtree.XY;XY;class;0;7;1;0;0;7;3;31;
platform-game15593849;com.adrian.platformgame.quadtree.Quadtree;Quadtree;class;3;25;1;0;0;4;7;85;
platform-game15593849;com.adrian.platformgame.actor.Actor;Actor;class;5;15;1;6;11;7;5;76;
platform-game15593849;com.adrian.platformgame.game.Item;Item;class;0;2;1;0;0;2;1;10;
platform-game15593849;com.adrian.platformgame.event.CharacterEvent;CharacterEvent;class;1;2;1;0;0;2;1;13;
platform-game15593849;com.adrian.platformgame.actor.Bullet;Bullet;class;5;6;2;0;6;4;0;31;
platform-game15593849;com.adrian.platformgame.leveleditor.EditorObject;EditorObject;class;0;9;1;0;28;9;4;36;
platform-game15593849;com.adrian.platformgame.game.InputManager;InputManager;class;1;26;1;0;0;5;7;79;
platform-game15593849;com.adrian.platformgame.game.Level;Level;class;18;45;1;0;0;13;6;218;
platform-game15593849;com.adrian.platformgame.game.Game;Game;class;8;8;2;0;15;7;3;53;
platform-game15593849;com.adrian.platformgame.actor.Box;Box;class;3;7;2;0;3;3;1;28;
platform-game15593849;com.adrian.platformgame.leveleditor.XMLFileFilter;XMLFileFilter;class;0;9;2;0;3;3;2;31;
platform-game15593849;com.adrian.platformgame.leveleditor.EditorPanel;EditorPanel;class;5;62;5;0;226;25;21;260;
platform-game15593849;com.adrian.platformgame.leveleditor.PropertiesPanel;PropertiesPanel;class;0;14;5;0;89;13;3;94;
platform-game15593849;com.adrian.platformgame.leveleditor.EditorWindow;EditorWindow;class;9;39;6;0;84;12;23;223;
platform-game15593849;com.adrian.platformgame.actor.DestructibleBox;DestructibleBox;class;3;3;2;0;3;3;0;23;
platform-game15593849;com.adrian.platformgame.listener.SensorActivationListener;SensorActivationListener;interface;1;1;1;0;0;1;0;5;
platform-game15593849;com.adrian.platformgame.actor.Character;Character;class;8;21;2;0;72;13;3;91;
platform-game15593849;com.adrian.platformgame.actor.Structure;Structure;class;3;3;2;0;3;3;0;21;
platform-game15593849;com.adrian.platformgame.leveleditor.Actorshape;Actorshape;class;1;4;1;0;4;4;1;22;
platform-game15593849;com.adrian.platformgame.event.BulletEvent;BulletEvent;class;2;5;1;0;0;5;3;28;
platform-game15593849;com.adrian.platformgame.actor.Sensor;Sensor;class;4;4;2;0;4;4;1;29;
platform-game15593849;com.adrian.platformgame.quadtree.AABB;AABB;class;2;15;1;0;0;7;2;43;
