file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
puzzle61304614;io.anyway.puzzle.core.hook.wrapper.ResourceWrapper;ResourceWrapper;class;3;8;1;0;0;8;3;43;
puzzle61304614;io.anyway.puzzle.demo.dubbo.consumer.rest.ConsumerRest;ConsumerRest;class;6;1;1;0;0;1;1;18;
puzzle61304614;io.anyway.puzzle.core.aware.ServletMetadataAware;ServletMetadataAware;interface;2;1;1;0;0;1;0;6;
puzzle61304614;io.anyway.puzzle.bridge.plugin.internal.PluginPropertyBuilder;PluginPropertyBuilder;class;4;74;1;0;3;6;7;232;
puzzle61304614;io.anyway.puzzle.core.servlet.metadata.ServletMetadata;ServletMetadata;class;1;11;1;0;23;11;6;63;
puzzle61304614;io.anyway.puzzle.core.internal.PluginRepository;PluginRepository;class;3;20;1;0;0;9;3;106;
puzzle61304614;io.anyway.puzzle.demo2.rest.Demo2Rest;Demo2Rest;class;6;2;1;0;0;2;1;22;
puzzle61304614;io.anyway.puzzle.jasper.JspDispatcherFilter;JspDispatcherFilter;class;28;64;1;0;18;12;7;229;
puzzle61304614;io.anyway.puzzle.bridge.ext.ClassLoaderAppender;ClassLoaderAppender;interface;0;1;1;0;0;1;0;4;
puzzle61304614;io.anyway.puzzle.core.property.PluginPropertyRepository;PluginPropertyRepository;interface;0;2;1;0;1;2;0;20;
puzzle61304614;io.anyway.puzzle.core.spring.namespace.PluginServiceNamespaceHandlerSupport;PluginServiceNamespaceHandlerSupport;class;3;1;2;0;0;1;0;10;
puzzle61304614;io.anyway.puzzle.core.hook.delegate.ServletDispatcherFilter;ServletDispatcherFilter;class;13;24;1;0;3;3;1;90;
puzzle61304614;io.anyway.puzzle.core.hook.PluginHookFilter;PluginHookFilter;class;18;27;1;0;9;7;6;123;
puzzle61304614;io.anyway.puzzle.core.servlet.wrapper.ListenerWrapper;ListenerWrapper;class;2;4;1;0;0;4;2;21;
puzzle61304614;io.anyway.puzzle.core.servlet.wrapper.HttpResponseWrapper;HttpResponseWrapper;class;5;6;3;0;3;6;2;34;
puzzle61304614;io.anyway.puzzle.core.spring.PluginListableBeanFactory;PluginListableBeanFactory;class;20;49;3;0;52;12;3;201;
puzzle61304614;io.anyway.puzzle.bridge.plugin.PluginFramework;PluginFramework;class;5;9;1;0;0;4;5;77;
puzzle61304614;io.anyway.puzzle.core.aware.PluginServiceAware;PluginServiceAware;interface;0;0;1;0;0;0;0;7;
puzzle61304614;io.anyway.puzzle.bridge.hook.PuzzleFilter;PuzzleFilter;class;8;11;1;0;0;5;5;61;
puzzle61304614;io.anyway.puzzle.demo.dubbo.api.service.UserService;UserService;interface;1;1;1;0;0;1;0;5;
puzzle61304614;com.alibaba.dubbo.config.spring.ReferenceBean;ReferenceBean;class;20;70;3;0;22;8;2;169;
puzzle61304614;io.anyway.puzzle.demo.domain.DemoEntity;DemoEntity;class;0;4;1;0;0;4;2;18;
puzzle61304614;io.anyway.puzzle.core.servlet.wrapper.FilterWrapper;FilterWrapper;class;4;7;1;0;3;6;4;34;
puzzle61304614;io.anyway.puzzle.demo.exception.DemoException;DemoException;class;1;1;5;0;0;1;0;10;
