file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
mobile-ecommerce-webservice-education6734073;server.sessionbean.ShopBean;ShopBean;class;7;9;1;0;0;6;2;55;
mobile-ecommerce-webservice-education6734073;com.google.rest.MessageRestService;MessageRestService;class;4;1;1;0;0;1;0;14;
mobile-ecommerce-webservice-education6734073;com.google.mcommerce.sample.chaper13.server.database.ClassNameDo;ClassNameDo;class;1;4;2;0;0;1;0;32;
mobile-ecommerce-webservice-education6734073;org.json.JSONTokener;JSONTokener;class;4;87;1;1;127;18;7;394;
mobile-ecommerce-webservice-education6734073;org.json.JSONObject;JSONObject;class;6;318;1;0;1959;66;2;1459;
mobile-ecommerce-webservice-education6734073;com.google.mcommerce.sample.chaper13.server.app.RegImp;RegImp;class;6;22;1;0;1;3;5;126;
mobile-ecommerce-webservice-education6734073;org.json.JSONArray;JSONArray;class;4;123;1;0;1066;49;1;806;
mobile-ecommerce-webservice-education6734073;server.servlet.Shop;Shop;class;9;55;2;0;15;7;3;349;
mobile-ecommerce-webservice-education6734073;com.google.mcommerce.sample.chaper13.server.database.UserDo;UserDo;class;2;5;2;0;1;2;0;96;
mobile-ecommerce-webservice-education6734073;com.google.mcommerce.sample.chaper13.server.app.SearchImp;SearchImp;class;6;17;1;0;2;4;7;95;
mobile-ecommerce-webservice-education6734073;com.google.mcommerce.sample.chaper13.server.xml.XmlParser;XmlParser;class;4;25;1;0;18;8;20;262;
mobile-ecommerce-webservice-education6734073;org.json.Cookie;Cookie;class;3;27;1;0;6;4;0;156;
mobile-ecommerce-webservice-education6734073;com.google.mcommerce.sample.chaper13.server.tool.Tools;Tools;class;0;12;1;0;10;5;0;88;
mobile-ecommerce-webservice-education6734073;com.google.mcommerce.sample.chaper13.server.entity.FileInfo;FileInfo;class;0;24;1;0;210;24;12;103;
mobile-ecommerce-webservice-education6734073;server.service.resteasy.ShopService;ShopService;class;16;16;1;0;6;9;2;135;
mobile-ecommerce-webservice-education6734073;com.google.mcommerce.sample.chaper13.server.tool.MD5Tool;MD5Tool;class;1;23;1;0;14;8;2;116;
mobile-ecommerce-webservice-education6734073;com.google.mcommerce.sample.chaper13.server.database.BaseDo;BaseDo;class;2;21;1;3;0;4;7;120;
mobile-ecommerce-webservice-education6734073;server.entitybean.Customer;Customer;interface;0;7;1;0;21;7;0;21;
mobile-ecommerce-webservice-education6734073;com.google.mcommerce.sample.chaper13.server.app.LoginImp;LoginImp;class;6;18;1;0;1;3;6;83;
mobile-ecommerce-webservice-education6734073;com.google.mcommerce.server.HelloWorld;HelloWorld;class;3;1;1;0;0;1;0;12;
mobile-ecommerce-webservice-education6734073;org.json.CookieList;CookieList;class;2;8;1;0;1;2;0;80;
mobile-ecommerce-webservice-education6734073;server.service.resteasy.ShopApplication;ShopApplication;class;2;3;2;0;1;3;1;32;
mobile-ecommerce-webservice-education6734073;com.google.mcommerce.sample.chaper13.server.database.FileDo;FileDo;class;2;24;2;0;15;6;1;383;
mobile-ecommerce-webservice-education6734073;com.google.mcommerce.sample.chaper13.server.xml.XmlReturn;XmlReturn;class;3;3;1;0;1;2;0;122;
mobile-ecommerce-webservice-education6734073;server.sessionbean.RegistrationBeanRemote;RegistrationBeanRemote;interface;2;2;1;0;1;2;0;12;
mobile-ecommerce-webservice-education6734073;com.google.mcommerce.server.sample.domain.Employee;Employee;class;0;10;1;0;21;10;4;46;
