file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
mobile-starting-framework22442542;org.kuali.mobility.tours.controllers.ToursController;ToursController;class;25;191;1;0;0;22;2;791;
mobile-starting-framework22442542;org.kuali.mobility.emergencyinfo.service.EmergencyInfoServiceImplTest;EmergencyInfoServiceImplTest;class;11;18;1;0;151;18;2;141;
mobile-starting-framework22442542;org.kuali.mobility.writer.controllers.WriterController;WriterController;class;26;64;1;0;0;20;7;569;
mobile-starting-framework22442542;org.kuali.mobility.reporting.domain.Incident;Incident;class;2;26;1;0;299;26;14;121;
mobile-starting-framework22442542;org.kuali.mobility.tours.dao.ToursDao;ToursDao;interface;2;10;1;0;45;10;0;38;
mobile-starting-framework22442542;org.kuali.mobility.news.dao.NewsDaoImplTest;NewsDaoImplTest;class;12;16;1;0;99;15;4;129;
mobile-starting-framework22442542;org.kuali.mobility.tags.DefinitionListDefinitionTagTest;DefinitionListDefinitionTagTest;class;17;7;1;0;2;4;5;98;
mobile-starting-framework22442542;org.kuali.mobility.writer.dao.CommentDaoImpl;CommentDaoImpl;class;7;5;1;0;8;5;1;80;
mobile-starting-framework22442542;org.kuali.mobility.emergencyinfo.dao.EmergencyInfoWSDaoImplTest;EmergencyInfoWSDaoImplTest;class;11;8;1;0;24;8;3;82;
mobile-starting-framework22442542;org.kuali.mobility.people.entity.SearchCriteria;SearchCriteria;class;0;15;1;0;87;15;7;175;
mobile-starting-framework22442542;org.kuali.mobility.academics.service.AcademicsAuthServiceImplTest;AcademicsAuthServiceImplTest;class;23;21;1;0;180;20;6;182;
mobile-starting-framework22442542;org.kuali.mobility.tags.MultiPageTagTest;MultiPageTagTest;class;17;75;1;0;0;21;38;1136;
mobile-starting-framework22442542;org.kuali.mobility.academics.service.AcademicsAuthService;AcademicsAuthService;interface;4;9;1;0;36;9;0;44;
mobile-starting-framework22442542;org.kuali.mobility.writer.entity.ArticleRejection;ArticleRejection;class;6;12;1;0;54;12;6;147;
mobile-starting-framework22442542;org.kuali.mobility.reporting.dao.ReportingDaoImplTest;ReportingDaoImplTest;class;15;8;1;0;20;8;3;127;
mobile-starting-framework22442542;org.kuali.mobility.shared.entity.Address;Address;class;7;14;1;0;77;14;7;97;
mobile-starting-framework22442542;org.kuali.mobility.util.mapper.domain.Seat;Seat;class;0;12;1;0;54;12;6;67;
mobile-starting-framework22442542;org.kuali.mobility.l10n.entity.LocalisedString;LocalisedString;class;8;10;1;0;35;10;6;159;
mobile-starting-framework22442542;org.kuali.mobility.conference.service.ConferenceServiceImpl;ConferenceServiceImpl;class;13;51;1;0;142;20;7;394;
