file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
Twitter-Health-Analysis67088621;edu.umkc.pb.VeganServlet;VeganServlet;class;18;18;2;0;15;3;1;103;
Twitter-Health-Analysis67088621;edu.umkc.pb.GymDietUSAServlet;GymDietUSAServlet;class;18;8;2;0;15;3;1;96;
Twitter-Health-Analysis67088621;edu.umkc.pb.RetweetServlet;RetweetServlet;class;18;10;2;0;15;3;1;97;
Twitter-Health-Analysis67088621;com.mnpw3d.TwitterCollect;TwitterCollect;class;8;14;1;0;19;1;3;89;
Twitter-Health-Analysis67088621;edu.umkc.pb.StreetFoodServlet;StreetFoodServlet;class;18;24;2;0;15;3;1;117;
Twitter-Health-Analysis67088621;edu.umkc.pb.WorkoutServlet;WorkoutServlet;class;18;16;2;0;15;3;1;100;
Twitter-Health-Analysis67088621;edu.umkc.pb.IndianFood;IndianFood;class;18;8;2;0;15;3;1;96;
Twitter-Health-Analysis67088621;edu.umkc.pb.CountryServlet;CountryServlet;class;16;33;2;0;21;3;1;149;
Twitter-Health-Analysis67088621;edu.umkc.pb.CuisineInterests;CuisineInterests;class;18;18;2;0;15;3;1;106;
Twitter-Health-Analysis67088621;edu.umkc.pb.WordCloudServlet;WordCloudServlet;class;18;97;2;0;15;3;1;213;
