file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
Twitter_Health25984302;health.NBClassifier;NBClassifier;class;3;47;1;0;0;10;12;173;
Twitter_Health25984302;health.TwitterHealthPanel;TwitterHealthPanel;class;3;45;5;0;0;4;20;232;
Twitter_Health25984302;health.MachineMain;MachineMain;class;1;1;1;0;0;1;0;13;
Twitter_Health25984302;health.TweetRetrieval;TweetRetrieval;class;7;25;1;0;1;2;0;139;
Twitter_Health25984302;health.RetrieverTest;RetrieverTest;class;1;2;1;0;0;1;0;12;
Twitter_Health25984302;health.Topic;Topic;class;1;9;1;0;7;7;2;29;
Twitter_Health25984302;health.TestMain;TestMain;class;1;1;1;0;0;1;0;12;
Twitter_Health25984302;health.PriorityQueueTest;PriorityQueueTest;class;1;3;1;0;0;1;0;26;
Twitter_Health25984302;health.GUIMain;GUIMain;class;1;3;1;0;3;2;0;32;
Twitter_Health25984302;health.TestLearner;TestLearner;class;1;59;1;0;0;3;19;170;
Twitter_Health25984302;health.Machine;Machine;class;3;33;1;0;3;6;15;137;
Twitter_Health25984302;health.TweetRetriever;TweetRetriever;class;7;21;1;0;0;2;3;104;
Twitter_Health25984302;health.TwitterHealthMachine;TwitterHealthMachine;class;4;61;1;0;27;11;19;225;
