file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
vector_health10427089;com.feth.play.module.pa.user.EmailIdentity;EmailIdentity;interface;1;1;1;0;0;1;0;4;
vector_health10427089;models.Source;Source;class;2;0;2;0;0;0;6;20;
vector_health10427089;com.feth.play.module.pa.exceptions.AccessDeniedException;AccessDeniedException;class;1;3;4;0;1;3;2;18;
vector_health10427089;com.feth.play.module.pa.providers.oauth2.OAuth2AuthUser;OAuth2AuthUser;class;2;5;2;0;4;5;4;31;
vector_health10427089;models.auth.UserPermission;UserPermission;class;6;2;2;0;0;2;4;27;
vector_health10427089;com.feth.play.module.pa.providers.openid.exceptions.OpenIdConnectException;OpenIdConnectException;class;1;1;4;0;0;1;1;11;
vector_health10427089;com.feth.play.module.pa.user.FirstLastNameIdentity;FirstLastNameIdentity;interface;1;2;1;0;1;2;0;5;
vector_health10427089;com.feth.play.module.pa.providers.oauth1.twitter.TwitterAuthProvider;TwitterAuthProvider;class;13;4;5;0;6;4;2;49;
vector_health10427089;AirportPropagationTest;AirportPropagationTest;class;1;2;1;0;1;1;0;21;
vector_health10427089;com.feth.play.module.pa.providers.oauth2.facebook.FacebookAuthUser;FacebookAuthUser;class;7;39;4;0;81;15;26;128;
vector_health10427089;com.feth.play.module.pa.providers.oauth2.foursquare.FoursquareAuthUser;FoursquareAuthUser;class;6;35;4;0;50;12;24;148;
vector_health10427089;Global;Global;class;8;14;2;0;36;2;0;67;
vector_health10427089;gov.weather.graphical.xml.DWMLgen.schema.DWML_xsd.SectorType;SectorType;class;7;14;1;0;39;11;17;74;
vector_health10427089;com.feth.play.module.pa.exceptions.RedirectUriMismatch;RedirectUriMismatch;class;1;0;4;0;0;0;1;7;
vector_health10427089;com.feth.play.module.pa.exceptions.AccessTokenException;AccessTokenException;class;1;2;4;0;1;2;1;13;
vector_health10427089;gov.weather.graphical.xml.DWMLgen.wsdl.ndfdXML_wsdl.NdfdXMLPortType;NdfdXMLPortType;interface;8;12;1;0;66;12;0;68;
vector_health10427089;com.feth.play.module.pa.providers.openid.OpenIdAuthProvider;OpenIdAuthProvider;class;12;23;4;0;6;4;4;103;
vector_health10427089;com.feth.play.module.pa.service.UserService;UserService;interface;2;5;1;0;10;5;0;45;
vector_health10427089;com.feth.play.module.pa.user.ExtendedIdentity;ExtendedIdentity;interface;2;1;1;0;0;1;0;4;
vector_health10427089;com.feth.play.module.pa.providers.oauth2.google.GoogleAuthInfo;GoogleAuthInfo;class;2;3;3;0;0;3;4;26;
vector_health10427089;controllers.HomeController;HomeController;class;2;1;2;0;0;1;0;16;
vector_health10427089;gov.weather.graphical.xml.DWMLgen.wsdl.ndfdXML_wsdl.NdfdXMLLocator;NdfdXMLLocator;class;6;29;2;0;77;15;3;206;
vector_health10427089;models.auth.TokenAction;TokenAction;class;12;4;2;0;0;4;9;64;
vector_health10427089;com.feth.play.module.pa.providers.oauth1.OAuth1AuthInfo;OAuth1AuthInfo;class;1;3;2;1;0;3;3;20;
vector_health10427089;providers.MyUsernamePasswordAuthProvider;MyUsernamePasswordAuthProvider;class;23;57;7;0;456;33;10;323;
vector_health10427089;gov.weather.graphical.xml.DWMLgen.schema.DWML_xsd.DisplayLevelType;DisplayLevelType;class;7;15;1;0;39;11;17;78;
vector_health10427089;com.feth.play.module.pa.providers.oauth1.linkedin.LinkedinAuthProvider;LinkedinAuthProvider;class;13;4;5;0;6;4;3;65;
vector_health10427089;com.feth.play.module.pa.user.NameIdentity;NameIdentity;interface;0;1;1;0;0;1;0;4;
vector_health10427089;models.auth.LinkedAccount;LinkedAccount;class;9;4;2;0;4;4;6;40;
vector_health10427089;gov.weather.graphical.xml.DWMLgen.wsdl.ndfdXML_wsdl.NdfdXMLPortTypeProxy;NdfdXMLPortTypeProxy;class;10;51;1;0;0;18;2;97;
vector_health10427089;gov.weather.graphical.xml.DWMLgen.schema.DWML_xsd.FeatureTypeType;FeatureTypeType;class;7;14;1;0;39;11;15;72;
vector_health10427089;models.auth.SecurityRole;SecurityRole;class;7;2;2;0;0;2;4;42;
vector_health10427089;com.feth.play.module.pa.providers.oauth2.OAuth2AuthProvider;OAuth2AuthProvider;class;17;21;4;0;20;9;21;159;
vector_health10427089;com.feth.play.module.pa.providers.oauth1.OAuth1AuthUser;OAuth1AuthUser;class;2;4;2;0;0;4;4;27;
vector_health10427089;controllers.Account;Account;class;16;41;2;0;41;15;5;186;
vector_health10427089;com.feth.play.module.pa.providers.oauth2.facebook.FacebookAuthProvider;FacebookAuthProvider;class;10;11;5;0;4;4;6;74;
vector_health10427089;controllers.Application;Application;class;8;14;2;0;43;10;3;85;
vector_health10427089;com.feth.play.module.pa.providers.oauth2.google.GoogleAuthUser;GoogleAuthUser;class;7;29;4;0;37;11;20;103;
vector_health10427089;models.Target;Target;class;1;0;2;0;0;0;0;4;
vector_health10427089;com.feth.play.module.pa.providers.password.SessionUsernamePasswordAuthUser;SessionUsernamePasswordAuthUser;class;1;2;4;0;0;2;2;18;
