file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
Algorithm-Linux6988248;haimenboy.Q20_SearchMatrix;Q20_SearchMatrix;class;0;1;1;0;0;1;0;8;
Algorithm-Linux6988248;CareerCup.ObjectOrientedDesign.Q8_2_CallCenter.Rank;Rank;enum;0;2;1;0;0;2;1;16;
Algorithm-Linux6988248;Question8_3.SongSelector;SongSelector;class;1;3;1;0;0;3;1;7;
Algorithm-Linux6988248;Question8_5.UserManager;UserManager;class;1;8;1;0;0;4;1;26;
Algorithm-Linux6988248;LeetCode.OnlineJudge.Q21_ConstructBinaryTreeFromPreMidTraversal;Q21_ConstructBinaryTreeFromPreMidTraversal;class;3;15;1;0;10;5;0;55;
Algorithm-Linux6988248;CareerCup.RecursiveAndDP.Q9_3_MagicIndex;Q9_3_MagicIndex;class;2;14;1;0;3;3;0;46;
Algorithm-Linux6988248;Util.GraphNode;GraphNode;class;4;6;1;0;9;6;3;38;
Algorithm-Linux6988248;CareerCup.ObjectOrientedDesign.Q8_8_ChatServer.User;User;class;7;22;1;0;14;8;9;70;
Algorithm-Linux6988248;Question8_7.User;User;class;6;29;1;0;85;15;9;89;
Algorithm-Linux6988248;Question11_3.Question;Question;class;2;19;1;0;1;3;5;71;
Algorithm-Linux6988248;CareerCup.Hard.Q18_4_Count2InN;Q18_4_Count2InN;class;0;1;1;0;0;1;0;8;
Algorithm-Linux6988248;CareerCup.ObjectOrientedDesign.Q8_1_DeckCard.Hand;Hand;class;1;5;1;0;0;4;1;23;
Algorithm-Linux6988248;Question8_3.CD;CD;class;0;0;1;0;0;0;0;3;
Algorithm-Linux6988248;Lintcode.Base.L3.LevelOrder;LevelOrder;class;1;19;1;0;0;3;2;74;
Algorithm-Linux6988248;LeetCode.OnlineJudge.Q54_MergeTwoSortedLists;Q54_MergeTwoSortedLists;class;2;12;1;0;1;2;0;36;
Algorithm-Linux6988248;Question8_2.Manager;Manager;class;1;1;2;0;0;1;0;6;
Algorithm-Linux6988248;Sample_Code.Sample_Code;Sample_Code;class;0;14;1;0;21;7;0;66;
Algorithm-Linux6988248;CareerCup.RecursiveAndDP.Q9_1_CountWays;Q9_1_CountWays;class;1;8;1;0;1;2;1;26;
Algorithm-Linux6988248;LeetCode.OnlineJudge.Q3_4Sum;Q3_4Sum;class;2;25;1;0;3;3;0;152;
Algorithm-Linux6988248;Question17_5.Question;Question;class;2;18;1;0;2;4;3;56;
