file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
QueryReformulation60655514;pass;pass;class;6;0;1;0;0;0;6;2
QueryReformulation60655514;org.eclipse.e4.ui.css.core.dom.properties.converters.ICSSValueConverterColorConfig;ICSSValueConverterColorConfig;interface;1;1;1;0;0;1;3;31
QueryReformulation60655514;org.eclipse.ui.tests.api.ListElementPropertyTester;ListElementPropertyTester;class;2;3;2;0;0;1;1;14
QueryReformulation60655514;org.eclipse.ui.internal.navigator.NavigatorExtensionStateService;NavigatorExtensionStateService;class;5;4;1;0;0;2;3;52
QueryReformulation60655514;document;document;class;9;0;1;0;0;0;19;2
QueryReformulation60655514;org.eclipse.ui.internal.forms.widgets.FormFonts;FormFonts;class;11;30;3;0;15;11;4;89
QueryReformulation60655514;databinding;databinding;class;0;0;1;0;0;0;0;2
QueryReformulation60655514;org.eclipse.core.tests.internal.databinding.validation.NumberToByteValidatorTest;NumberToByteValidatorTest;class;4;3;3;0;3;3;0;25
QueryReformulation60655514;org.eclipse.ui.IPageLayout;IPageLayout;interface;4;23;1;0;253;23;20;506
QueryReformulation60655514;unknown;unknown;class;2;0;1;0;0;0;2;2
QueryReformulation60655514;org.eclipse.ui.part.PageSwitcher;PageSwitcher;class;4;6;1;0;15;6;0;71
QueryReformulation60655514;org.eclipse.e4.ui.internal.css.swt.dom.scrollbar.ScrollBarPositions;ScrollBarPositions;class;3;9;3;0;13;7;10;127
QueryReformulation60655514;org.eclipse.jface.resource.ColorDescriptor;ColorDescriptor;class;8;7;2;0;21;7;0;82
QueryReformulation60655514;org.eclipse.ui.internal.misc.StatusUtil;StatusUtil;class;8;45;1;0;136;17;0;224
QueryReformulation60655514;arguments;arguments;class;24;0;1;0;0;0;24;2
QueryReformulation60655514;org.eclipse.ui.internal.commands.CommandStateProxy;CommandStateProxy;class;10;53;2;0;0;14;5;226
QueryReformulation60655514;org.eclipse.ui.tests.api.SessionEditorPart;SessionEditorPart;class;11;10;2;0;26;8;2;67
QueryReformulation60655514;org.eclipse.core.tests.internal.databinding.beans.BeanValuePropertyTest;BeanValuePropertyTest;class;8;2;2;0;0;1;1;35
QueryReformulation60655514;org.eclipse.jface.internal.databinding.swt.MenuItemSelectionProperty;MenuItemSelectionProperty;class;2;4;2;0;6;4;0;25
QueryReformulation60655514;ValueStub;ValueStub;class;4;3;2;0;3;3;3;17
QueryReformulation60655514;org.eclipse.e4.ui.model.application.descriptor.basic.MPartDescriptor;MPartDescriptor;interface;6;18;1;0;153;18;0;288
