file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
FullStackAppTwo68984076;db.MongoDBImport;MongoDBImport;class;3;1;1;0;0;1;0;19
FullStackAppTwo68984076;api.SearchRestaurants;SearchRestaurants;class;8;7;2;0;3;3;2;62
FullStackAppTwo68984076;offline.User;User;class;1;28;1;0;0;8;2;55
FullStackAppTwo68984076;api.VisitHistory;VisitHistory;class;8;16;2;0;0;4;2;103
FullStackAppTwo68984076;model.Restaurant;Restaurant;class;4;41;1;0;218;28;11;178
FullStackAppTwo68984076;yelp.TwoStepOAuth;TwoStepOAuth;class;2;3;2;0;3;3;0;20
FullStackAppTwo68984076;api.LogoutServlet;LogoutServlet;class;5;5;2;0;3;3;1;41
FullStackAppTwo68984076;db.DBYelpImport;DBYelpImport;class;0;5;1;0;0;1;0;71
FullStackAppTwo68984076;db.MySQLDBConnection;MySQLDBConnection;class;7;56;1;0;0;13;2;300
FullStackAppTwo68984076;api.LoginServlet;LoginServlet;class;8;9;2;0;1;3;2;80
FullStackAppTwo68984076;db.DBConnection;DBConnection;interface;2;11;1;0;55;11;0;88
FullStackAppTwo68984076;offline.Purify;Purify;class;3;3;1;0;0;1;0;37
FullStackAppTwo68984076;db.MongoDBConnection;MongoDBConnection;class;14;35;1;0;13;12;3;216
FullStackAppTwo68984076;model.RestaurantTest;RestaurantTest;class;9;7;1;0;11;6;2;77
FullStackAppTwo68984076;api.RpcParser;RpcParser;class;5;7;1;0;3;3;0;55
FullStackAppTwo68984076;api.RecommendRestaurants;RecommendRestaurants;class;7;5;2;0;3;3;2;55
FullStackAppTwo68984076;db.DBUtil;DBUtil;class;0;0;1;0;0;0;6;11
FullStackAppTwo68984076;yelp.YelpAPI;YelpAPI;class;11;7;1;0;8;5;10;78
FullStackAppTwo68984076;offline.Prediction;Prediction;class;8;15;1;0;2;2;5;102
