file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
jgitplugin35786800;github.IStateGitHub;IStateGitHub;interface;0;4;1;0;6;4;0;16
jgitplugin35786800;core.GitHubConfigFactory;GitHubConfigFactory;class;5;5;1;0;3;3;0;34
jgitplugin35786800;github.StateGitHubAuthenticatedNoCloned;StateGitHubAuthenticatedNoCloned;class;3;5;2;0;10;5;0;35
jgitplugin35786800;events.GitHubEventsTrigger;GitHubEventsTrigger;class;13;14;2;0;66;12;1;42
jgitplugin35786800;jegit.CommitManager;CommitManager;class;15;25;6;0;198;15;6;151
jgitplugin35786800;events.ViewsEvents;ViewsEvents;class;1;12;1;0;36;12;7;58
jgitplugin35786800;github.GitHubManager;GitHubManager;class;10;18;1;0;0;7;4;84
jgitplugin35786800;tests.IssueTests;IssueTests;class;5;1;1;0;0;1;0;21
jgitplugin35786800;issues.AppLabelService;AppLabelService;class;7;10;1;0;3;6;2;57
jgitplugin35786800;github.StateGitHubNoAuthenticatedNoCloned;StateGitHubNoAuthenticatedNoCloned;class;4;5;2;0;10;5;0;37
jgitplugin35786800;jegit.ViewGitHub;ViewGitHub;class;2;1;5;0;0;1;3;20
jgitplugin35786800;issues.AppIssueService;AppIssueService;class;7;12;1;0;1;7;3;72
jgitplugin35786800;jegit.issues.IssuePanel;IssuePanel;class;2;6;5;0;2;4;4;51
jgitplugin35786800;issues.AppIssue;AppIssue;class;0;10;1;0;35;10;5;39
jgitplugin35786800;github.StateGitHub;StateGitHub;class;3;5;1;4;10;5;1;34
jgitplugin35786800;events.GitHubEvents;GitHubEvents;class;6;23;11;0;133;23;8;94
jgitplugin35786800;core.GitHubClientFactory;GitHubClientFactory;class;3;9;1;0;1;2;1;34
jgitplugin35786800;github.StateGitHubNoAuthenticatedCloned;StateGitHubNoAuthenticatedCloned;class;3;3;2;0;3;3;0;24
jgitplugin35786800;Utilities.Encriptacion;Encriptacion;class;1;4;1;0;1;2;0;44
jgitplugin35786800;jegit.CloneManager;CloneManager;class;15;22;6;0;141;14;6;151
jgitplugin35786800;events.ViewsEventsTrigger;ViewsEventsTrigger;class;8;9;2;0;21;7;1;26
jgitplugin35786800;events.EventsTrigger;EventsTrigger;class;2;4;1;2;1;2;1;13
jgitplugin35786800;github.StateGitHubAuthenticatedCloned;StateGitHubAuthenticatedCloned;class;3;3;2;0;3;3;0;26
jgitplugin35786800;jegit.JGitPlugin;JGitPlugin;class;1;0;2;0;0;0;0;4
jgitplugin35786800;jegit.issues.LabelsPanel;LabelsPanel;class;2;4;5;0;2;4;4;47
jgitplugin35786800;issues.AppLabel;AppLabel;class;0;10;1;0;29;10;4;37
jgitplugin35786800;Utilities.CredentialHelper;CredentialHelper;class;2;7;1;0;0;1;0;20
jgitplugin35786800;tests.Main;Main;class;0;1;1;0;0;1;0;49
jgitplugin35786800;jegit.LoginDialog;LoginDialog;class;2;20;6;0;44;10;9;144
jgitplugin35786800;core.CredentialManager;CredentialManager;class;2;18;1;0;1;6;2;71
jgitplugin35786800;core.GitHubCredentials;GitHubCredentials;class;1;14;1;0;0;8;3;51
jgitplugin35786800;core.PropertyManager;PropertyManager;class;1;9;1;0;1;2;0;54
jgitplugin35786800;Utilities.SpringUtilities;SpringUtilities;class;0;19;1;0;6;4;0;208
jgitplugin35786800;issues.IAppIssueService;IAppIssueService;interface;1;3;1;0;3;3;0;8
jgitplugin35786800;core.GitHubCredentialsManager;GitHubCredentialsManager;class;5;9;1;0;0;4;3;37
jgitplugin35786800;issues.IAppLabelService;IAppLabelService;interface;1;2;1;0;1;2;0;6
jgitplugin35786800;jegit.issues.LabelManager;LabelManager;class;7;10;5;0;5;5;6;83
jgitplugin35786800;jegit.issues.IssuesTableModel;IssuesTableModel;class;0;3;3;0;3;3;0;15
jgitplugin35786800;github.IGitHub;IGitHub;interface;0;8;1;0;28;8;0;26
jgitplugin35786800;core.GitHubRepository;GitHubRepository;class;0;9;1;0;0;5;1;26
jgitplugin35786800;jegit.issues.AddLabelDialog;AddLabelDialog;class;1;12;6;0;35;7;7;102
jgitplugin35786800;Utilities.StringHelper;StringHelper;class;0;1;1;0;0;1;0;6
jgitplugin35786800;github.GitHub;GitHub;class;8;15;1;0;36;13;4;67
jgitplugin35786800;jegit.issues.IssueManager;IssueManager;class;7;15;5;0;20;7;7;122
jgitplugin35786800;jegit.issues.LabelCellRenderer;LabelCellRenderer;class;2;10;5;0;4;4;5;74
jgitplugin35786800;jegit.issues.AddIssueDialog;AddIssueDialog;class;1;13;6;0;24;8;7;131
