file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
sem-group-441729036;nl.tudelft.controller.util.HighscoresHelper;HighscoresHelper;class;4;6;1;0;0;2;2;63
sem-group-441729036;nl.tudelft.controller.logger.LogSeverity;LogSeverity;enum;0;0;1;0;0;0;0;11
sem-group-441729036;nl.tudelft.model.pickups.weapon.FlowerWeapon;FlowerWeapon;class;2;1;3;0;0;1;0;8
sem-group-441729036;nl.tudelft.model.wall.AbstractMovingWall;AbstractMovingWall;class;3;4;2;2;0;4;1;32
sem-group-441729036;nl.tudelft.controller.DashBoardControllerTest;DashBoardControllerTest;class;9;6;1;0;0;6;7;71
sem-group-441729036;nl.tudelft.controller.GameEndedStateControllerTest;GameEndedStateControllerTest;class;7;2;1;0;0;2;5;38
sem-group-441729036;nl.tudelft.model.pickups.utility.FreezeUtility;FreezeUtility;class;4;14;3;0;3;6;3;60
sem-group-441729036;nl.tudelft.view.LoggerSetScreenTest;LoggerSetScreenTest;class;15;5;1;0;0;5;7;76
sem-group-441729036;nl.tudelft.settings.PlayerInput;PlayerInput;class;2;19;2;0;0;9;3;145
sem-group-441729036;nl.tudelft.settings.PlayerInputListener;PlayerInputListener;interface;0;4;1;0;6;4;0;22
sem-group-441729036;nl.tudelft.settings.Settings;Settings;class;3;18;1;0;65;15;3;148
sem-group-441729036;nl.tudelft.model.bubble.BubbleBoundsTest;BubbleBoundsTest;class;10;5;1;0;0;5;4;118
sem-group-441729036;nl.tudelft.model.player.AbstractPlayerDecoratorTest;AbstractPlayerDecoratorTest;class;11;50;1;0;0;50;2;274
sem-group-441729036;nl.tudelft.model.AbstractGame;AbstractGame;class;13;41;1;3;160;21;10;251
sem-group-441729036;nl.tudelft.model.pickups.weapon.DoubleWeapon;DoubleWeapon;class;2;1;3;0;0;1;0;8
sem-group-441729036;nl.tudelft.controller.collision.WallPlayerHandlerTest;WallPlayerHandlerTest;class;8;4;1;0;0;4;6;59
sem-group-441729036;nl.tudelft.model.pickups.utility.LevelWonUtility;LevelWonUtility;class;3;4;3;0;1;2;0;16
sem-group-441729036;nl.tudelft.model.bubble.BacchelliBubbleTest;BacchelliBubbleTest;class;6;9;1;0;0;9;3;71
sem-group-441729036;nl.tudelft.controller.collision.HorWallWallHandlerTest;HorWallWallHandlerTest;class;6;4;1;0;0;4;4;64
sem-group-441729036;nl.tudelft.model.player.ConcretePlayer;ConcretePlayer;class;14;59;1;0;680;41;19;412
sem-group-441729036;nl.tudelft.controller.collision.PlayerWeaponHandlerTest;PlayerWeaponHandlerTest;class;6;3;1;0;0;3;4;40
sem-group-441729036;nl.tudelft.view.ShopStateTest;ShopStateTest;class;23;4;1;0;0;3;16;112
sem-group-441729036;nl.tudelft.model.shop.ShopItem;ShopItem;class;1;4;1;0;0;4;1;26
sem-group-441729036;nl.tudelft.model.Countdown;Countdown;class;6;12;1;0;0;6;3;75
sem-group-441729036;nl.tudelft.model.pickups.powerup.RandomPowerupFactoryTest;RandomPowerupFactoryTest;class;9;7;1;0;21;7;0;54
sem-group-441729036;nl.tudelft.view.GameState;GameState;class;11;14;2;0;14;12;6;126
sem-group-441729036;nl.tudelft.controller.KeyBindStateController;KeyBindStateController;class;10;19;1;0;9;6;1;145
sem-group-441729036;nl.tudelft.controller.resources.Fonts;Fonts;class;2;3;1;0;1;3;1;18
sem-group-441729036;nl.tudelft.model.pickups.weapon.StickyWeapon;StickyWeapon;class;2;1;3;0;0;1;0;8
sem-group-441729036;nl.tudelft.model.shop.level.SlowGameSpeedTest;SlowGameSpeedTest;class;5;2;1;0;1;2;0;34
sem-group-441729036;nl.tudelft.model.pickups.powerup.InvinciblePowerupTest;InvinciblePowerupTest;class;11;11;1;0;55;11;0;163
sem-group-441729036;nl.tudelft.model.pickups.utility.RandomUtilityFactory;RandomUtilityFactory;class;8;12;1;0;0;4;1;47
sem-group-441729036;nl.tudelft.controller.DashboardController;DashboardController;class;5;14;1;0;0;7;2;91
sem-group-441729036;nl.tudelft.model.bubble.Bubble3;Bubble3;class;3;4;2;0;3;3;0;37
sem-group-441729036;nl.tudelft.controller.util.Helpers;Helpers;class;0;3;1;0;1;3;1;25
sem-group-441729036;nl.tudelft.model.bubble.Bubble5Test;Bubble5Test;class;8;4;1;0;0;4;2;45
sem-group-441729036;nl.tudelft.model.pickups.RandomPickupFactory;RandomPickupFactory;class;8;12;1;0;0;6;2;63
sem-group-441729036;nl.tudelft.controller.util.JSONParser;JSONParser;class;3;3;1;0;1;3;1;58
sem-group-441729036;nl.tudelft.model.shop.player.DoubleWeaponItemTest;DoubleWeaponItemTest;class;4;2;1;0;1;2;0;20
sem-group-441729036;nl.tudelft.view.Dashboard;Dashboard;class;10;20;1;0;88;20;24;337
sem-group-441729036;nl.tudelft.controller.resources.Resources;Resources;class;8;44;1;0;58;12;5;235
sem-group-441729036;nl.tudelft.model.bubble.Bubble5;Bubble5;class;3;4;2;0;3;3;0;37
sem-group-441729036;nl.tudelft.model.Level;Level;class;12;52;1;0;94;20;11;277
sem-group-441729036;nl.tudelft.model.LevelTest;LevelTest;class;12;21;1;0;0;15;10;243
sem-group-441729036;nl.tudelft.controller.StartScreenStateController;StartScreenStateController;class;16;12;1;0;0;12;4;178
sem-group-441729036;nl.tudelft.controller.collision.CollisionInteractionMap;CollisionInteractionMap;class;9;24;1;0;16;8;2;197
sem-group-441729036;nl.tudelft.controller.util.HighscoreEntry;HighscoreEntry;class;1;6;1;0;0;4;2;24
sem-group-441729036;nl.tudelft.model.SingleplayerGame;SingleplayerGame;class;6;4;2;0;0;4;3;65
sem-group-441729036;nl.tudelft.model.player.Player;Player;interface;7;33;1;0;528;33;0;49
sem-group-441729036;nl.tudelft.controller.Modifiable;Modifiable;interface;1;2;1;0;1;2;0;28
sem-group-441729036;nl.tudelft.model.shop.player.ExtraLife;ExtraLife;class;3;2;3;0;1;2;0;21
sem-group-441729036;nl.tudelft.model.pickups.powerup.AbstractPowerup;AbstractPowerup;class;3;2;2;7;1;2;4;26
sem-group-441729036;nl.tudelft.controller.HighscoreEntryEqualsTest;HighscoreEntryEqualsTest;class;5;3;1;0;1;3;3;86
sem-group-441729036;nl.tudelft.model.shop.player.ShopWeaponItem;ShopWeaponItem;class;3;2;3;0;1;2;0;24
sem-group-441729036;nl.tudelft.controller.GameStateControllerTest;GameStateControllerTest;class;12;9;1;0;0;9;2;112
sem-group-441729036;nl.tudelft.model.pickups.powerup.MoneyPowerupTest;MoneyPowerupTest;class;6;3;1;0;3;3;0;48
sem-group-441729036;nl.tudelft.model.pickups.utility.SlowUtilityTest;SlowUtilityTest;class;6;4;1;0;6;4;0;62
sem-group-441729036;nl.tudelft.view.OptionsState;OptionsState;class;10;31;2;0;83;22;10;229
sem-group-441729036;nl.tudelft.controller.LoggerSetScreenControllerTest;LoggerSetScreenControllerTest;class;9;5;1;0;0;5;2;65
sem-group-441729036;nl.tudelft.model.pickups.utility.SplitUtilityTest;SplitUtilityTest;class;6;2;1;0;1;2;0;39
sem-group-441729036;nl.tudelft.controller.logger.AbstractLogger;AbstractLogger;class;3;20;1;2;37;11;9;81
sem-group-441729036;nl.tudelft.model.pickups.weapon.RegularWeapon;RegularWeapon;class;2;1;3;0;0;1;0;8
sem-group-441729036;nl.tudelft.model.pickups.powerup.Hit3ShieldPowerupTest;Hit3ShieldPowerupTest;class;12;12;1;0;45;10;0;167
